            1         2         3         4         5         6         7         8         9        10        11        12        13        14        15        16        17        18        19        20        21        22        23        24        25        26        27        28        29        30        31        32        33        34        35        36        37        38        39        40        41        42        43        44        45        46        47        48        49        50        51        52        53        54        55        56        57        58        59        60        61
  1      6873      5003      9281     10245     19000      8255     21123      5328     10644      4495      9625      7237      9415     31974     20778     26494     18278      6716     27150     31530     27221     21120      7487     10545     11366     32723      8880     14958      1746     12165        66     27531     23610     12701      1342     25392     12064     16517     11429      5863     23549     15712     22160     28830     15158     17452      9091      3180      2208      3793     23032     18794     24776       433     14113     26752     29547      8565     25042      1701     30966
  2     21521     17076     10502     25953     12265      8971     10671     26147     26272     29347      8495     10245      3631     27965     17482     14981      7011     23928     28324     14346     30272     30940     17747     25258      5235     11554     24560      3529     23537     29680     28803     30426     27412     24328     15939     29092     30864      7472      3002     13938     17796     30934      7532      8258     23801     20525      1594      9959     24601     26067     18543     24047     29210     14257     28707     27637      3415      3762     19664     18253     29518
  3     26485     27532     23244     22366       326     13001     13206     10826     12101     21813     18849      4927     15216     16967       955     10040     12578     12394     23963     20910      4771     21890      2558      7111      8039      5122     14674     13484     26162     13940     15085      2972      1296     10167     10630     23385     23124     26415     29269       862     26132     25725     22083       774     30136     27503     25974     16546      5087        30      6316     12030     12939     21340     14009      8705      1684       598      9172      6015     17582
  4     20484     25864     11287      6166     12346     25747     24065     28599      5509     16082     28508      4594     20899     21030      7543     29150     14105     16146      8172      3929     12788     27492      7098     26337     14354      6914     29716      2306      7191      1204     15586     19963     28221     24450     23238     18616       222     18847     27629     14793     13980     25891     24249       330      9663     28175      9736      3004     13982     16900     30251     21971     28309     30820     27573     30627     28088      1738     15127     12616     13114
  5     14060      8989     22086     32344     19665     12248     17139     23610     25506     20392      7867     18935     22707     23193      7400     12959      1111     17377     32152     19309      9039      6168     25679     28812     15433     11591      2679     30122     17749     29513     17474      9017      2302     27466      9867     24291     32393      7465     19770     26614     18694     28775     26220      9519     23327      7752      3361      7093     30628     13170     17047     20172      7398      3259     16282      4269     19478     14991      1719     30400     11700
  6     27918     28199     14782     28431     12748     10735     27362      9199      8626      8475     17670      9285     30124     13314     22081      9365     27665      7217     17226      8783     11269      2948     12358      7444     29823     15141     10384      7795     31214     24527     24077      1208     28851     22887     29154      7970     25959      1259     11562     18596     23872     31964     15558     24452     25330     15061      7829      2247     22471      1312     22631     27042     27947     30157     13924     28749     23213     12793      6271     30076     13745
  7     24867     29817     29713     25463     29086      9855     21585     19603     19968      6977      3381     20172     30695     28622     28890     13656      1043       101     22891       402      8532      5661     28720      6432     23506      7659     16751     11514      3851     16714     21516       459      3864     31277     25084      4984     23726      3281     21043      9600     15563     27413      3524       814      9084     31569     28212     18047     25292     31759     25475      5343     22911     30407     27054     23985     10265     27419     16913     16092      7027
  8     30571     14466     15282     14597     23734     23719     17180     32667      4056      2497     13761     26982     24743     25594     32723     19350      9992      8636     15808     20430     11554     22252      3875      2190     24544     19094      7164     31628     12018      8936      1701     29407      4670     12885      7094     19463     13219       828     12541      6273     29201     18332     30015     27934     22674     17034     17675     25864     26860     32198     16256     30477     24770      6127     14804     10710      2026     20080      3037         0     10421
  9     19876      7869     25752      9745     17239     22682     27303      7115     25113     30337     20782     12558      7577     23667      6366     26509      2313     27124     16168     28111     16829     13830     18867     25252     10095     26308     30410     12143     15867     11637     19483     20160     25272      8485     19610       698     10727     24152     14231     31368     31493     25722     10678      3285     24952      3435      5101      4318       654      4881      7003     14137      8326       296     11714     14255     16021     13483     27088       976      9279
 10     23821      3262     26775     17084     15992     29408     15240     20244     31863      4355      9872      3881     20212      7295      9122     23703     20650      5904      1469     16650      1394     28065      6475      6485     26855     20038       683     17678     24734     24463      9892     18606     12261      5400     10378      3556     15791      5149      8239     10795     15427      5774     28608      9902      6451     10065     27538      1026     19323     28100      1337     14762     17300      4703      7221     17797     25598       464     23422     25046     18842
 11      8692     18059     12215     28466     22855     31843     29261     11977     32654      3039     19690      3516     30292     26629      2324     24615     30554     15082     17477      7797     16132      8189      6952     17155      9832      4136     13677     22973     13067     16923     25537     16130     26071      4567      1561     32137     25588      3353      3114      7703     31636     18025     14181       845     29347     22437     28404     10309      5616     30915     31291     25289     15442     10412      4337     20862     29515     15661     14387     19315     11155
 12     21304     32211      7782     29252     29847     20979     11395      6775     20841     28152     18348     25656      7330     14941     10493     24196     21619     24409     18198      8866      9806     12977     26461      1932     32739     17475     18356      5260      9638      5116     17402      9687     12792     16477      1277     18922     11943      1161     16854      2995     24776     10248     25833     13550     16445     20693     22771     19267     20588     25099     16583      8745     12682     14232     22848     22856     25099     32495     12878      2655     21978
 13      2478     22623     20507     25554      5312     11046     22690     13668     22137     18822     32433     17541     29997     18690      3723     26530     19479     19959     32011     22407     19362     16666      4177     14253      4671      8573     12519     30740     28252     15962      4425     31921      6105     13428      1216     19792     25433     18764     19685     21803        71     12528      9697      6069      4646     26336     24280     13686      3958     26110     28786     24214     28957     26614     10581      3499     18156      7977      9335      8023     28606
 14     11051     25285     11848      4464     29712     21094     30232     17071     21316      5242     11225      8469     26388     23942     29765     18911      7154     12970     31521     31092      9454      7516     15419     27566      1004     21266     10562      9546      3711     15339      1876     32625     16620     14684     31008     28644     30397     22901     29347     10440     21449     29427     28357       256      9558     13996     25345     32012      5544      3329     23114     22719     12933      1331     14823     31050     23599     22821     14185     18927     25344
 15     14022     32239      6677     27980     20320     21394     12529      7393     14375     29306     13501     28987     23111     18373     30054     23707     25866     15506     25830     20367     14307      1937     29975     30579     14982     21187     14841     13989     14975     19928     23595     29347      1742     27514     24370      8573      1244     15174     27644      1097     22257     22231     25313     12082     26020       854     23178     22298     25423     30106     19576     28094     18582      4813      5911     31941     10844      7983     29205      3239     12694
 16     14149     23568     30297     13050     19820     15152     15723     14230      7932     17601       430     24181     31446       306      1589     26219      9247      7903     20206     20146     15228     31675     28660     24425     27697     15165     11368      7714      8719     15611      7297     19359     19717     14935     31238     18219      8058      7242      4388     29589      4101     25447      9404     12749     10785     11980     19344      4622      1137      4480     28966     26657      2099     26214      7178       291       661     24876     31898     14351     10668
